origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
PH,946,mtt,690,0.015693326775
DMH,830,MD,362,0.015678683125
PH,946,PVHd,63,0.015531381775
MPN,515,AVPV,272,0.015461444075
PH,946,RSPv,886,0.0149475906444153
LHA,194,MEA,403,0.01485901235
ADP,72,PVR,141,0.0148112621586426
SUM,525,fiber tracts,1009,0.01460719645
MPN,515,ACAd,39,0.0145878530846588
MPN,515,ACAd5,1015,0.014578653950000001
MM,491,cett,932,0.01441913935
MM,491,cm,967,0.01441913935
MM,491,ml,697,0.01441913935
MM,491,drt,792,0.01441913935
LM,210,MEZ,467,0.0144000881058433
MPO,523,VMPO,576073699,0.014380425674999999
SUM,525,mfbs,991,0.0143058734957031
SUM,525,mfsbshy,824,0.0143058734957031
DMH,830,PMv,1004,0.0142843085
DMH,830,PVH,38,0.014238600075
STN,470,TH,549,0.01419927145
ZI,797,SSp-tr5,1111,0.014197939875000001
PMv,1004,TMv,1,0.0140674786
PH,946,RSPv5,687,0.0140245301
PVp,126,MBO,331,0.0139684556203411
PVp,126,TM,557,0.013844270890625
VMH,693,TMd,1126,0.0137663834
PH,946,MMme,732,0.013742418725
PMv,1004,mfbs,991,0.0137149791556641
PMv,1004,fiber tracts,1009,0.013714978725
PVH,38,RE,181,0.013707026637500001
PMv,1004,mfsbshy,824,0.0136818536339844
DMH,830,PVp,126,0.0135403219
PH,946,AHN,88,0.0135354709
STN,470,ZI,797,0.013510932925
AHN,88,VMPO,576073699,0.013372713725
PVp,126,TMd,1126,0.01335529208125
VMH,693,CH,567,0.0132616161648117
VMH,693,CTXpl,695,0.0132616161648117
VMH,693,Isocortex,315,0.0132616161648117
VMH,693,CTX,688,0.0132616161648117
ZI,797,SSp-tr6a,9,0.0131408249
DMH,830,ILM,51,0.0130411378453125
PMv,1004,mfbsma,46,0.012882817084375001
TMv,1,MEZ,467,0.0128436537625977
PH,946,TMd,1126,0.0128261399106812
MM,491,LZ,290,0.0128256684005202
MM,491,LHA,194,0.0125011054
PVH,38,fiber tracts,1009,0.01245512135
LPO,226,AVP,263,0.012452701975000001
DMH,830,Xi,560581559,0.012428539615625001
DMH,830,LHA,194,0.012249167
LHA,194,FF,804,0.012233093774999999
MM,491,PAG,795,0.0122255433292721
MPN,515,RE,181,0.012178603784375
MPN,515,MSC,904,0.0120938166257475
MPN,515,MS,564,0.012093811275
PH,946,ZI,797,0.012014347975
PH,946,FF,804,0.0120055194
LPO,226,LHA,194,0.011859064524999999
MPN,515,SBPV,347,0.01185693915
PVH,38,LZ,290,0.011825992128125
PH,946,mfb,54,0.0117970014216797
LHA,194,SSp-ll5,1128,0.011701149775000001
PMv,1004,SPF,406,0.011671504775000001
PMv,1004,SPFm,414,0.011671504775000001
ZI,797,PAL,803,0.011034812250000001
ZI,797,CNU,623,0.011034812250000001
ZI,797,POL,1029,0.010993787
ARH,223,ME,10671,0.010908104375
STN,470,DORsm,864,0.0107874688297852
STN,470,VENT,637,0.0107874688297852
LM,210,MBO,331,0.0107627685507652
STN,470,VP,709,0.01074810743125
SO,390,grey,8,0.0106541475500366
SO,390,BS,343,0.0106350264706055
SO,390,IB,1129,0.0106350264706055
SO,390,HY,1097,0.010635026149999999
LHA,194,mfbsma,46,0.0105357032552734
AHN,88,ARH,223,0.0105125752998952
PMv,1004,MM,491,0.0103766743734558
STN,470,VPM,733,0.0100950822875
SUM,525,VTA,749,0.010061835787499999
MPN,515,mfbs,991,0.0100566217137695
PVH,38,ZI,797,0.00999961865
PVHd,63,LZ,290,0.00995558920787658
AHN,88,ATN,239,0.009941486294140621
DMH,830,CM,599,0.009840744725
PVH,38,PVT,149,0.009785222365625
LHA,194,BST,351,0.0096949458375
LHA,194,PALc,809,0.0096949458375
SUM,525,mfb,54,0.009680357924999999
SUM,525,MMme,732,0.009623985415625
AHN,88,AM,127,0.009621261168749999
PMv,1004,MB,313,0.009619076075
LHA,194,MOp,985,0.009615058686752321
LHA,194,MO,500,0.009615058686752321
TMv,1,MBO,331,0.009399598796875
MPN,515,mfbc,768,0.00934750029814453
ZI,797,VPLpc,725,0.0093301163375
MM,491,TM,557,0.009308735799999999
VMH,693,SMT,366,0.00929995745
MM,491,mfbse,1083,0.009283827262499999
MM,491,fr,595,0.009283827262499999
SO,390,fiber tracts,1009,0.009114878325
ARH,223,PMv,1004,0.0090230896875
PH,946,MMm,606826651,0.0089507583375
PVH,38,mfbs,991,0.00887230186308594
PMv,1004,pm,753,0.0088535570375
ZI,797,SGN,325,0.0087625040125
PVH,38,PVR,141,0.00875466387612304
SO,390,PVZ,157,0.0087065582625
PVH,38,mfbc,768,0.00870199730996094
PH,946,pm,753,0.0086297000015625
MPO,523,PVH,38,0.008621311278125
MPO,523,PVZ,157,0.008621311278125
PVH,38,fxs,1099,0.00859762936757812
PVH,38,fxpo,737,0.00859762936757812
PVH,38,DMH,830,0.0085487781859375
LHA,194,DORpm,856,0.0084751331
LHA,194,RT,262,0.0084751331
TU,614,mfbs,991,0.008412638040625
MPN,515,SCH,286,0.0084024495625
PVH,38,fx,436,0.0083569579625
VMH,693,SCH,286,0.008295096993749999
LHA,194,mfb,54,0.0080475413375
LHA,194,MOp6a,844,0.0080360196
PMv,1004,LHA,194,0.007989024925000001
ZI,797,VISpm6a,257,0.0079126222875
PH,946,MMl,606826647,0.0078859160625
LPO,226,VLPO,689,0.0078840957125
AHN,88,AMd,1096,0.0076412896875
MM,491,TMv,1,0.007606827375000001
PH,946,mtg,681,0.00750357365625
TU,614,fxs,1099,0.0075033105875
TU,614,fx,436,0.0075033105875
TU,614,mfbc,768,0.0075033105875
TU,614,fxpo,737,0.0075033105875
PH,946,RSPd5,610,0.007486892524999999
PVHd,63,PeF,576073704,0.007316409275
MPN,515,fxs,1099,0.007292829628027341
ZI,797,VISam5,433,0.0071920344125
MPO,523,PALv,835,0.0071873732875
MPO,523,SI,342,0.0071873732875
MM,491,MBsta,348,0.007159636966813709
